,rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
152,12,290. 새말소공원,3,25,37.53150940,126.89782715,ST-1698
153,14,291. 문래동 하이테크 시티,23,164,37.51412964,126.89939117,ST-1699
154,10,292. 영일 어린이공원,20,200,37.51012039,126.90406799,ST-1700
155,15,293. 충북 미래관,10,67,37.52917099,126.90757751,ST-1701
156,10,295.영등포공원 분수대 앞,8,80,37.51481247,126.91170502,ST-1967
157,20,296.KT플라자 영등포점,3,15,37.52630234,126.90538025,ST-1968
158,10,297.국회3문,1,10,37.52863693,126.91267395,ST-1969
159,25,298.KBS 연구동 건너편,20,80,37.52750778,126.91429901,ST-1970
160,10,299.여의도 순복음교회,0,0,37.53179169,126.92245483,ST-1971
161,6,300. 정동사거리,1,17,37.56805038,126.96923065,ST-116
162,20,301. 경복궁역 7번출구 앞,1,5,37.57579422,126.97145081,ST-117
163,12,302. 경복궁역 6번출구 뒤,5,42,37.57561493,126.97289276,ST-118
164,8,303. 광화문역 1번출구 앞,15,188,37.57176971,126.97466278,ST-119
165,16,305. 종로구청 옆,24,150,37.57255936,126.97833252,ST-121
166,11,307. 서울역사박물관 앞,11,100,37.56999969,126.97109985,ST-123
167,31,308. 광화문 S타워 앞,67,216,37.56996918,126.97393799,ST-124
168,13,309. 광화문역 6번출구 옆 B,24,185,37.56996155,126.97615814,ST-125
169,8,310. 청계광장 옆,6,75,37.56887817,126.97747040,ST-126
170,10,314. 국립현대미술관,7,70,37.57970810,126.98085785,ST-130
171,8,316. 종각역 1번출구 앞,8,100,37.57039642,126.98178864,ST-132
172,10,318. 광교사거리 남측,5,50,37.56863403,126.98231506,ST-134
173,17,320. 을지로입구역 4번출구 앞,9,53,37.56622314,126.98358917,ST-136
174,15,321. KEB 하나금융그룹 명동사옥 옆,13,87,37.56546402,126.98413849,ST-137
175,10,322. 명동성당 앞,1,10,37.56447601,126.98696899,ST-138
176,8,324. 신세계백화점 본점 앞,12,150,37.56134415,126.98050690,ST-140
177,15,326. 안국역 5번출구 앞,17,113,37.57624054,126.98616028,ST-142
178,10,327. 낙원상가 옆,11,110,37.57335663,126.98746490,ST-143
179,11,328. 탑골공원 앞,1,9,37.57039642,126.98818970,ST-144
180,8,329. 청계2가 사거리 옆,17,213,37.56848526,126.98788452,ST-145
181,10,331. 을지로2가 사거리 북측,10,100,37.56638336,126.98720551,ST-147
182,5,332. 을지로2가 사거리 남측,2,40,37.56599045,126.98779297,ST-148
183,10,334. 종로3가역 2번출구 뒤,3,30,37.57059860,126.99179077,ST-150
184,10,335. 종로3가역 15번출구 뒤,2,20,37.57019424,126.99165344,ST-151
185,8,336. 충무로역 6번출구 앞,4,50,37.56144714,126.99311066,ST-152
186,5,337. 창경궁 입구,10,200,37.57897949,126.99647522,ST-153
187,18,338. 세운스퀘어 앞,1,6,37.57095718,126.99712372,ST-154
188,10,339. 종로4가 사거리,10,100,37.57106781,126.99819183,ST-155
189,8,340. 혜화동 로터리,8,100,37.58562851,127.00067902,ST-156
190,8,341. 혜화역 3번출구 뒤,10,125,37.58156967,127.00178528,ST-157
191,22,342. 대학로 마로니에공원,13,59,37.57978439,127.00253296,ST-158
192,6,343. 힐스테이트창경궁 아파트 앞,10,167,37.57561111,127.00469971,ST-159
193,10,344. 성균관대 E하우스 앞,1,10,37.57419968,127.00659180,ST-160
194,18,345. 서울보증보험본사 앞,16,89,37.57330704,127.00070953,ST-161
195,10,346. 맥스타일 앞,9,90,37.56896210,127.01014709,ST-162
196,18,347. 동대문역사문화공원역 9번출구 앞,8,44,37.56533051,127.00784302,ST-163
197,14,348. 독립문역 사거리,8,57,37.57202911,126.96078491,ST-183
198,5,349. 어린이도서관,4,80,37.57633209,126.96858978,ST-165
199,5,351. 청운초교 앞 삼거리,9,180,37.58496857,126.97041321,ST-167
200,10,352. 중앙고입구 삼거리,6,60,37.58341599,126.98523712,ST-168
201,8,353. 재동초교 앞 삼거리,19,238,37.57938766,126.98494720,ST-169
202,10,354. 포르투갈 대사관 앞,9,90,37.57915497,126.98896027,ST-170
203,15,355. 서울사대부설초등학교 앞,16,107,37.57650757,127.00245667,ST-171
204,15,356. KT혜화지사 앞,12,80,37.57714462,127.00205994,ST-172
205,13,358. 성균관대입구 사거리 A,4,31,37.58250046,126.99853516,ST-173
206,8,359. 원남동사거리,9,113,37.57606125,126.99768066,ST-174
207,10,361. 동묘앞역 1번출구 뒤,36,360,37.57324219,127.01590729,ST-175
208,10,362. 청계8가사거리 A,15,150,37.57223511,127.02317810,ST-176
209,13,363. 신설동역 11번출구 뒤,16,123,37.57559204,127.02285004,ST-177
210,8,364. 창신역 1번출구 앞,13,163,37.57933426,127.01508331,ST-178
211,13,367. 독립문역 3-1번출구 ,8,62,37.57415771,126.95851898,ST-180
212,15,368. SK 서린빌딩 앞,14,93,37.56924820,126.98053741,ST-181
213,23,370. 시청역(2호선) 9번출구 뒤,24,104,37.56322861,126.97483826,ST-185
214,10,371. 동대입구역 6번출구 뒤,0,0,37.55887222,127.00553894,ST-186
215,10,372. 약수역 3번출구 뒤,4,40,37.55429459,127.01119995,ST-187
216,12,374. 청구역 2번출구 앞,11,92,37.56047440,127.01407623,ST-189
217,7,379. 서울역9번출구,16,229,37.55599976,126.97335815,ST-194
218,8,380. CJ제일제당 앞,3,38,37.56386566,127.00274658,ST-195
219,10,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196
220,7,382. 약수역 10번출구 앞,5,71,37.55519867,127.01004791,ST-197
221,27,383. 신당역 12번 출구 뒤,10,37,37.56591797,127.01642609,ST-198
222,5,384. 중림동삼거리,3,60,37.55978012,126.96850586,ST-199
223,10,385. 종각역 5번출구,7,70,37.56983566,126.98265839,ST-336
224,10,387. 훈련원공원주차장 앞,0,0,37.56699371,127.00346375,ST-338
225,10,388. 동성중학교 앞,8,80,37.58573532,127.00160980,ST-444
226,9,389. 을지로4가역 1번출구,2,22,37.56673050,126.99660492,ST-943
227,12,390. 충무로역 1번출구,0,0,37.56138992,126.99535370,ST-944
228,8,391. 시립미술관,6,75,37.56505203,126.97340393,ST-977
229,12,393. 동대문역 8번 출구,11,92,37.57014084,127.00937653,ST-1372
230,15,394. 경희궁 자이 3단지,15,100,37.56748962,126.96591949,ST-1373
231,8,395. 경희궁 자이 2단지,9,113,37.56885529,126.96456146,ST-1374
232,13,397. 종묘공영주차장 건너편,14,108,37.57048035,126.99663544,ST-1432
233,8,398. 을지로3가역 3번출구,3,38,37.56655884,126.99243927,ST-1435
234,15,399. 서울역 센트럴 자이아파트,4,27,37.55410767,126.96540833,ST-1436
235,14,400. 상암한화오벨리스크 1차 앞,24,171,37.58752441,126.88300323,ST-110
236,13,401. 상암월드컵파크 10단지 앞,7,54,37.58618927,126.88161469,ST-76
237,20,402. 상암월드컵파크 9단지 앞,24,120,37.58292770,126.87983704,ST-77
238,20,403. 부엉이공원 앞,2,10,37.58559036,126.88472748,ST-78
239,8,405. DMC빌 앞,0,0,37.58265686,126.88578796,ST-80
240,15,406. 상암월드컵파크 7단지 앞,13,87,37.58108902,126.88088226,ST-81
241,17,407. 마포구 육아종합지원센터,3,18,37.58063126,126.88367462,ST-83
242,14,408. LG CNS앞,8,57,37.58081055,126.88665009,ST-84
243,30,409. 누리꿈스퀘어 옆,32,107,37.57939911,126.88916016,ST-86
244,10,410. 상암중학교 옆,2,20,37.57739258,126.88747406,ST-88
245,10,411. DMC홍보관,21,210,37.57799530,126.89147186,ST-90
246,21,412. DMC산학협력연구센터 앞,6,29,37.57565689,126.89079285,ST-91
247,10,413. 상암월드컵파크 3단지 후문,14,140,37.57147598,126.88968658,ST-92
248,8,414. 상암동주민센터 옆,11,138,37.57822037,126.89447021,ST-94
249,10,415. DMC역 9번출구 앞,1,10,37.57746887,126.89736176,ST-95
250,12,416. 상암월드컵파크 1단지 교차로,10,83,37.57566452,126.89444733,ST-96
251,20,417. DMC역 2번출구 옆,7,35,37.57506943,126.89991760,ST-93
252,20,418. 월드컵경기장역 3번출구 옆,10,50,37.57048035,126.89889526,ST-89
253,21,419. 홈플러스 마포점 앞,12,57,37.56842041,126.89942932,ST-87
254,37,420. 서울시 공공자전거 상암센터,63,170,37.56624603,126.89617920,ST-85
255,8,421. 마포구청 앞,13,163,37.56574631,126.90186310,ST-82
256,9,422. 문화비축기지,11,122,37.56897736,126.89440155,ST-968
257,15,424. 롯데하이마트 (상암월드컵점),10,67,37.57361984,126.89804840,ST-990
258,10,425. DMC첨단산업센터,1,10,37.58450317,126.88559723,ST-991
259,10,426. 서울신용보증재단,24,240,37.54906082,126.95417786,ST-992
260,12,427. 성산시영아파트,14,117,37.56937790,126.90402985,ST-1397
261,10,428. 명보사거리,3,30,37.56439972,126.99143219,ST-1437
262,8,429. 송도병원,0,0,37.54988861,127.00734711,ST-1438
263,6,430. 장충동먹자골목 앞,5,83,37.56212616,127.00625610,ST-1439
264,25,431. 청계천 영도교,11,44,37.57101440,127.01974487,ST-1440
265,10,432. 마포중앙도서관,1,10,37.56333923,126.90820312,ST-1494
266,12,433. 을지로입구역 2번출구,22,183,37.56634521,126.98229218,ST-1668
267,10,434. 신당 래미안 버스정류장,23,230,37.56148911,127.02393341,ST-1669
268,10,435. SK 남산빌딩,1,10,37.55686188,126.97561646,ST-1670
269,10,436. 이대역 5번출구,4,40,37.55659103,126.94618988,ST-1675
270,11,437. 대흥역 1번출구,8,73,37.54846954,126.94092560,ST-1691
271,15,438. 성산2-1 공영주차장,1,7,37.56472015,126.90676880,ST-1692
272,15,440. 하늘공원 입구,16,107,37.57012177,126.88134766,ST-1754
273,15,441.염천교사거리,20,133,37.55989075,126.97149658,ST-1761
274,13,442.서울역 서부,15,115,37.55641556,126.96919250,ST-1768
275,9,443.호암아트홀,7,78,37.56211090,126.97071838,ST-1769
276,15,445.대한상공회의소,7,47,37.56015396,126.97410583,ST-1771
277,13,446. 상명대입구,9,69,37.60012817,126.95783234,ST-938
278,6,447. 신영동삼거리,8,133,37.60399246,126.96194458,ST-939
279,10,449. 일성아파트,18,180,37.60871887,126.97286224,ST-941
280,51,450. 효자동 삼거리,24,47,37.58360291,126.97254944,ST-978
281,8,451. 청와대앞길,12,150,37.58351517,126.97966766,ST-979
282,13,452. 동대문 종합시장 버스정류장,1,8,37.57123947,127.00440979,ST-1605
283,10,453. 종로오가 지하쇼핑센터 14번출구,6,60,37.57114029,127.00067139,ST-1606
284,13,454. 종로2가 버스정류장 (종각방향),5,38,37.57035828,126.98638153,ST-1607
285,8,455. 종로6가역 버스정류장(동대문 방향),8,100,37.57096100,127.00605774,ST-1608
286,10,456. 숭인2동 주민센터 입구,9,90,37.57447052,127.01982880,ST-1609
287,10,457. 종로꽃시장 입구 옆,3,30,37.57131958,127.00720978,ST-1610
288,21,458. 광화문역 5번출구,4,19,37.56989288,126.97756958,ST-1611
289,10,461. 서울경찰청,9,90,37.57436371,126.97236633,ST-1619
290,10,464. 삼청동 골목,7,70,37.58419037,126.98169708,ST-1756
291,5,465. 삼청공원 앞,0,0,37.58760452,126.98359680,ST-1759
292,13,466.롯데호텔,20,154,37.56584167,126.97981262,ST-1772
293,10,467.한국은행,5,50,37.56221390,126.98086548,ST-1773
294,8,468.웨스틴 조선호텔,0,0,37.56415939,126.97948456,ST-1774
295,11,469.회현역 1번출구,12,109,37.55923080,126.98014069,ST-1775
296,13,470.회현역 7번출구,10,77,37.55974579,126.98000336,ST-1776
297,10,471.회현사거리 남측,4,40,37.56035995,126.98265076,ST-1777
298,12,472.삼일교(시그니쳐 타워),16,133,37.56787109,126.98840332,ST-1778
299,20,473.을지로4가역 9번출구,1,5,37.56605148,126.99798584,ST-1779
300,40,474.동대문역사문화공원역 1번출구 뒤편,59,148,37.56629944,127.00849152,ST-1780
301,21,475.DDP 패션몰,19,90,37.56764984,127.01181030,ST-1781
302,10,476.광희문,8,80,37.56443024,127.00995636,ST-1782
303,10,477.앰배서더 호텔 주변,6,60,37.55928802,127.00268555,ST-1783
304,8,479.동대입구역 3번 출구,5,63,37.55937576,127.00602722,ST-1785
305,8,480.약수역 6번 출구,4,50,37.55432129,127.01070404,ST-1786
306,12,483.남산타운아파트 버스정류장,0,0,37.54758453,127.00643921,ST-1789
307,10,485.서울역5번출구,28,280,37.55677032,126.97319794,ST-1791
308,5,486. 평창동주민센터 앞,15,300,37.60627365,126.96832275,ST-2019
309,10,488.푸르메병원,14,140,37.58456802,126.88021088,ST-2147
310,10,489.구룡근린공원,6,60,37.58320236,126.88276672,ST-2148
311,23,490.가온문화공원,22,96,37.58207703,126.88766479,ST-2149
312,10,491.월드컵파크 4단지,31,310,37.57597733,126.88806915,ST-2150
313,7,493.홍대입구역 6번출구,10,143,37.55657578,126.92885590,ST-2152
314,5,494.신수동주민센터,5,100,37.54724503,126.93502808,ST-2153
315,10,495.염리초등학교 앞,21,210,37.54243088,126.94699860,ST-2154
316,25,497.합정동주민센터 앞,1,4,37.55175400,126.91230011,ST-2156
317,10,498.연남동주민센터 앞,20,200,37.56465149,126.92212677,ST-2157
318,7,500. 어린이대공원역 3번출구 앞,2,29,37.54705048,127.07433319,ST-97
319,30,501. 광진구의회 앞,7,23,37.53730774,127.07035065,ST-98
320,33,502. 자양(뚝섬한강공원)역 1번출구 앞,51,155,37.53186035,127.06719208,ST-99
321,11,505. 자양사거리 광진아크로텔 앞,5,45,37.53701019,127.08224487,ST-102
322,7,506. 금호 어울림 아파트 앞,11,157,37.54906082,127.05779266,ST-103
323,10,508. 성수아카데미타워 앞,25,250,37.54516983,127.05757141,ST-105
324,15,510. 뚝도아리수정수센터 버스정류소 옆,6,40,37.54122162,127.04380035,ST-107
325,16,511. 서울숲역 5번 출구 옆,3,19,37.54458237,127.04460907,ST-108
326,15,512. 뚝섬역 1번 출구 옆,0,0,37.54856110,127.04500580,ST-109
327,13,513. 뚝섬역 5번 출구 정류소 옆,4,31,37.54630661,127.04980469,ST-111
328,12,514. 성수사거리 버스정류장 앞,8,67,37.54257965,127.06330872,ST-112
329,10,516. 광진메디칼 앞,3,30,37.54840469,127.06936646,ST-114
330,20,518. 청계천 박물관 앞,9,45,37.57152557,127.03535461,ST-234
331,20,519. 양지사거리,14,70,37.56699371,127.02991486,ST-235
332,7,520. 상왕십리역 4번 출구 앞,13,186,37.56385803,127.03031921,ST-236
333,14,521. 왕십리역 11번 출구 앞,12,86,37.56144714,127.03491974,ST-237
334,5,522. 금호역 1번출구 앞,3,60,37.54864120,127.01642609,ST-238
335,7,523. 옥수동성당 옆,1,14,37.54366302,127.01406097,ST-239
336,10,524. 래미안금호하이리버 아파트 102동 옆,2,20,37.55220032,127.02505493,ST-240
337,20,525. 한양대병원사거리,18,90,37.55805206,127.04035187,ST-241
338,10,526. 용답토속공원 앞,12,120,37.56351089,127.05672455,ST-242
339,8,529. 장한평역 8번 출구 앞,6,75,37.56137085,127.06365967,ST-243
340,9,530. 청계벽산아파트 앞,23,256,37.56874847,127.03040314,ST-244
341,7,533. 금남시장 교차로,15,214,37.54814911,127.02108765,ST-245
342,10,534. 금호사거리,8,80,37.54863358,127.02572632,ST-246
343,11,535. 응봉삼거리,1,9,37.55398560,127.03359222,ST-247
344,8,536. 행당역 2번출구 앞,16,200,37.55735016,127.02921295,ST-248
345,10,537. 한양대후문역 부근,13,130,37.56035614,127.04139709,ST-249
346,10,539. 군자교교차로,2,20,37.55979538,127.07420349,ST-252
347,8,540. 군자역 7번출구 베스트샵 앞,0,0,37.55603027,127.07864380,ST-253
348,19,542. 강변역 4번출구 뒤,7,37,37.53582382,127.09416199,ST-254
349,20,543. 구의공원(테크노마트 앞),30,150,37.53598785,127.09462738,ST-255
350,10,544. 광남중학교,11,110,37.54072952,127.10290527,ST-256
